,75,45,62,55,16,35,60,70,65,30,22,25,20
70472,,7514.0,,,,,,,,,,,
70824,,135.0,,,,,,,,,,,
70983,,8353.0,,,,,,,,,,,
71356,,1552.0,,,,,,,,,,,
71480,,135.0,,,,,,,,,,,
71586,,135.0,,,,,,,,,,,
71793,,54.0,,,,,,,,,,,
71886,,135.0,,,,,,,,,,,
71951,,103.0,,,,,,,,,,,
72003,,8214.0,,,,,,,,,,,
72007,,135.0,,,,,,,,,,,
72046,,54.0,,,,,,,,,,,
72217,,14161.0,,,,,,,,,,,
72279,,135.0,,,,,,,,,,,
72308,,54.0,,,,,,,,,,,
72512,,54.0,,,,,,,,,,,
72595,,135.0,,,,,,,,,,,
72896,,1709.0,,,,,,,,,,,
72915,,22965.0,,,,,,,,,,,
72932,,135.0,,,,,,,,,,,
73012,,135.0,,,,,,,,,,,
73339,,54.0,,,,,,,,,,,
73367,,54.0,,,,,,,,,,,
73382,,54.0,,,,,,,,,,,
73579,,5431.0,,,,,,,,,,,
73634,,103.0,,,,,,,,,,,
73707,,135.0,,,,,,,,,,,
73742,,54.0,,,,,,,,,,,
73975,,8214.0,,,,,,,,,,,
74264,,135.0,,,,,,,,,,,
74437,,54.0,,,,,,,,,,,
74503,,54.0,,,,,,,,,,,
74635,,54.0,,,,,,,,,,,
74679,,54.0,,,,,,,,,,,
75111,,54.0,,,,,,,,,,,
75318,,8353.0,,,,,,,,,,,
75629,,135.0,,,,,,,,,,,
75652,,103.0,,,,,,,,,,,
75662,,135.0,,,,,,,,,,,
75668,,54.0,,,,,,,,,,,
76144,,135.0,,,,,,,,,,,
76339,,32162.0,,,,,,,,,,,
76456,,103.0,,,,,,,,,,,
76581,,135.0,,,,,,,,,,,
76700,,135.0,,,,,,,,,,,
76861,,103.0,,,,,,,,,,,
76903,,54.0,,,,,,,,,,,
77156,,103.0,,,,,,,,,,,
77690,,19.0,,,,,,,,,,,
77751,,5431.0,,,,,,,,,,,
77868,,54.0,,,,,,,,,,,
77933,,103.0,,,,,,,,,,,
78213,,54.0,,,,,,,,,,,
78227,,54.0,,,,,,,,,,,
78274,,135.0,,,,,,,,,,,
78941,,135.0,,,,,,,,,,,
23464,,,890.0,,,,,,,,,,
25768,,,6156.0,,,,,,,,,,
26951,,,6156.0,,,,,,,,,,
35985,,,6555.0,,,,,,,,,,
36268,,,6156.0,,,,,,,,,,
46582,,,53384.0,,,,,,,,,,
52657,,,3855.0,,,,,,,,,,
57850,,,6276.0,,,,,,,,,,
60045,,,71634.0,,,,,,,,,,
68669,,,40884.0,,,,,,,,,,
73850,,,3855.0,,,,,,,,,,
77382,,,40884.0,,,,,,,,,,
817,,,,153.0,,,,,,,,,
919,,,,153.0,,,,,,,,,
926,,,,153.0,,,,,,,,,
1014,,,,153.0,,,,,,,,,
1261,,,,153.0,,,,,,,,,
1614,,,,153.0,,,,,,,,,
2370,,,,4856.0,,,,,,,,,
2578,,,,153.0,,,,,,,,,
2726,,,,153.0,,,,,,,,,
2947,,,,153.0,,,,,,,,,
3313,,,,153.0,,,,,,,,,
3394,,,,153.0,,,,,,,,,
3398,,,,153.0,,,,,,,,,
3876,,,,153.0,,,,,,,,,
4240,,,,153.0,,,,,,,,,
4267,,,,153.0,,,,,,,,,
4662,,,,153.0,,,,,,,,,
4801,,,,153.0,,,,,,,,,
4999,,,,153.0,,,,,,,,,
5018,,,,153.0,,,,,,,,,
5180,,,,48662.0,,,,,,,,,
5594,,,,153.0,,,,,,,,,
5655,,,,153.0,,,,,,,,,
5700,,,,153.0,,,,,,,,,
6288,,,,153.0,,,,,,,,,
7145,,,,153.0,,,,,,,,,
7596,,,,153.0,,,,,,,,,
7788,,,,153.0,,,,,,,,,
8787,,,,153.0,,,,,,,,,
9011,,,,153.0,,,,,,,,,
9436,,,,153.0,,,,,,,,,
9868,,,,153.0,,,,,,,,,
9886,,,,153.0,,,,,,,,,
9892,,,,153.0,,,,,,,,,
9965,,,,153.0,,,,,,,,,
10489,,,,153.0,,,,,,,,,
10686,,,,153.0,,,,,,,,,
10886,,,,153.0,,,,,,,,,
11008,,,,153.0,,,,,,,,,
11212,,,,153.0,,,,,,,,,
11258,,,,153.0,,,,,,,,,
11442,,,,153.0,,,,,,,,,
11753,,,,153.0,,,,,,,,,
11816,,,,153.0,,,,,,,,,
11909,,,,153.0,,,,,,,,,
11963,,,,4856.0,,,,,,,,,
11967,,,,153.0,,,,,,,,,
11971,,,,153.0,,,,,,,,,
12000,,,,153.0,,,,,,,,,
12016,,,,153.0,,,,,,,,,
12330,,,,153.0,,,,,,,,,
12642,,,,153.0,,,,,,,,,
12779,,,,153.0,,,,,,,,,
13795,,,,153.0,,,,,,,,,
14357,,,,153.0,,,,,,,,,
14397,,,,153.0,,,,,,,,,
14547,,,,153.0,,,,,,,,,
14691,,,,153.0,,,,,,,,,
14894,,,,153.0,,,,,,,,,
14969,,,,153.0,,,,,,,,,
15320,,,,153.0,,,,,,,,,
15396,,,,153.0,,,,,,,,,
15982,,,,22827.0,,,,,,,,,
16381,,,,153.0,,,,,,,,,
16509,,,,153.0,,,,,,,,,
16763,,,,153.0,,,,,,,,,
16884,,,,153.0,,,,,,,,,
17550,,,,153.0,,,,,,,,,
17553,,,,153.0,,,,,,,,,
18492,,,,153.0,,,,,,,,,
18540,,,,153.0,,,,,,,,,
18873,,,,153.0,,,,,,,,,
19116,,,,153.0,,,,,,,,,
19925,,,,153.0,,,,,,,,,
19991,,,,153.0,,,,,,,,,
20012,,,,153.0,,,,,,,,,
20165,,,,153.0,,,,,,,,,
20429,,,,153.0,,,,,,,,,
20506,,,,153.0,,,,,,,,,
20572,,,,153.0,,,,,,,,,
20671,,,,153.0,,,,,,,,,
20791,,,,153.0,,,,,,,,,
20877,,,,153.0,,,,,,,,,
21282,,,,153.0,,,,,,,,,
21501,,,,4856.0,,,,,,,,,
21702,,,,153.0,,,,,,,,,
22368,,,,153.0,,,,,,,,,
22933,,,,153.0,,,,,,,,,
23569,,,,153.0,,,,,,,,,
23856,,,,153.0,,,,,,,,,
23920,,,,153.0,,,,,,,,,
23984,,,,2011.0,,,,,,,,,
24237,,,,153.0,,,,,,,,,
24472,,,,153.0,,,,,,,,,
24639,,,,153.0,,,,,,,,,
25453,,,,153.0,,,,,,,,,
26449,,,,153.0,,,,,,,,,
26976,,,,153.0,,,,,,,,,
27039,,,,153.0,,,,,,,,,
